<phenotype>								
taxa	data	data	data	data	data	data	data	data
Taxa	PH	EH	SHL	ASI	LAZY	KRN	KWT	albino
411-22	211.25	97.08	19.9	-0.25	0	11.33	3.47	0
1936-18	210.42	131.67	21.59	-0.25	0	11.67	3.16	0
1937-2	212.22	137.78	8.47	-1.33	0	13.11	3.58	0
1937-3	187.08	86.25	24.98	-0.75	0	13.17	4.29	0
1937-4	195	114.58	10.58	-0.25	36.11	11.33	4.96	0
1937-5	215	138.33	29.21	-0.75	29.29	11.08	4.52	0
1937-6	183.89	105	16.51	0.33	0	13.67	3.21	0
1937-8	197.78	117.22	19.47	0	0	9.11	3.93	0
411-1	195.83	103.75	18.2	-1.25	0	11.25	3.8	0
411-5	182.08	102.5	14.39	-0.5	36.67	13	3.81	0
1937-15	178.75	99.17	16.51	-1.25	0	14.08	3.41	0
1937-16	181.67	108.89	16.93	0.33	0	11.44	3.46	0
411-7	207.92	117.08	19.05	0.5	0	11.92	4.31	0
1937-18	171.25	76.25	15.24	-1	35.42	11.83	3.72	0
411-3	167.92	80.83	16.51	-0.5	0	12.83	4.14	0
412-1	192.22	97.22	20.74	0	0	12	3.88	0
1938-3	215	136.25	12.28	-0.75	0	11.83	3.49	0
1938-7	180.42	109.58	13.97	-0.75	0	10.17	2.74	35
1938-9	235.42	147.92	14.82	-0.5	0	11.33	3.65	0
1938-11	222.78	125.55	22.01	-0.67	0	11.67	3.39	0
1938-12	207.08	122.5	9.74	-0.75	0	11.83	3.81	0
1938-13	198.75	112.92	16.09	-1.75	0	12.17	3.81	0
1938-14	228.33	124.17	13.12	-0.75	0	11.83	4.93	0
413-17	197.08	105.83	22.01	-0.25	0	13.33	3.06	0
1938-18	181.67	100.42	19.9	-0.25	30.52	12.17	3.06	0
1939-1	213.75	120	17.78	-0.5	0	11.67	2.84	0
1939-3	189.17	112.08	11.85	-1.25	0	11.58	3.1	0
413-18	179.44	95.56	11.43	-0.33	0	13	3.92	0
1939-5	201.25	116.25	14.82	-1	0	13.25	3.29	0
1939-6	178.75	97.09	16.09	-1.25	0	10.33	3.64	0
1939-10	212.5	127.5	21.17	-0.25	0	13.58	3.47	0
1939-14	196.11	104.44	16.51	-0.33	0	14.22	3.95	0
397-1	199.58	102.08	10.58	-0.25	0	14.5	3.66	0
1939-21	213.33	124.58	27.94	-3.5	0	10.83	3.49	0
1940-1	218.75	121.67	16.93	-1.5	0	14.17	4.03	0
1940-3	220.83	126.67	15.66	0.5	0	13.92	3.89	0
1940-4	217.08	132.5	18.63	-1.25	0	12.17	4.71	0
397-17	186.11	102.78	13.97	-0.67	0	14.67	3.92	0
1940-7	220.83	137.92	19.05	0.25	0	10.58	3.87	0
1940-8	215.56	117.22	16.51	-1	0	13.56	4.19	0
1940-13	170.83	91.25	10.58	-0.25	0	12.83	3.62	0
1940-18	170	92.08	10.16	-1.25	0	11.42	4.54	0
1940-19	222.92	131.67	14.39	-0.75	0	12.17	3.13	0
1940-20	186.11	116.11	13.12	-1.33	0	12	4.75	0
1940-24	191.67	93.33	15.66	-1.75	0	11.08	4.36	0
1941-2	180.83	87.92	24.98	-0.5	0	12.92	5.58	0
1941-5	183.33	85.56	15.66	-0.75	0	8.83	4.33	0
1941-12	181.66	88.33	16.93	-0.5	0	10.17	3.27	33.34
1941-13	213.33	121.67	26.67	0.33	0	13	3.22	0
1941-18	189.17	107.08	13.55	-0.5	0	10.22	3.26	0
1942-1	233.75	145.42	28.36	-0.25	0	11.33	4.17	0
1942-20	182.91	93	27.09	-2.5	0	10.5	3.72	0
1942-24	187.78	118.34	14.82	-0.33	0	11.56	2.99	0
1943-2	191.25	84.58	13.12	0.75	0	15.17	4.28	0
1943-9	189.17	82.92	24.98	-0.25	0	17.17	4.19	0
1943-20	210.84	132.08	8.89	-0.5	0	11.33	3.03	0
